run_label,component,artifact_type,instance_scope,seed_scope,attempt,relative_path,status,checksum,comparison_baseline,storage_format,retention_class,policy_compliance,legacy_path,supersedes
stage05.1_best_known_attempt01,best_known,raw,all_92,n/a,attempt01,results/stage05.1_best_known_attempt01/stage05.1_best_known_attempt01/,complete,,stage04_adaptive_weights_attempt02,artifact-storage-v1,current,compliant,,
stage05.1_best_known_attempt01,best_known,review,all_92,n/a,attempt01,results/stage05.1_best_known_attempt01/stage05.1_best_known_attempt01/review/,complete,,stage05.1_best_known_attempt01,legacy_json_or_jsonl,current,compliant,,
stage05.1_best_known_attempt02,best_known,raw,all_92,n/a,attempt02,results/stage05.1_best_known_attempt02/,complete,74ff3b4a92e16229f909d0be5ada832466e61362ad1352174f0878686c4b9c9c,stage04_adaptive_weights_attempt05,artifact-storage-v1,current,compliant,,stage05.1_best_known_attempt01
stage05.1_best_known_attempt02,best_known,review,all_92,n/a,attempt02,results/stage05.1_best_known_attempt02/review/,READY_FOR_STAGE05_2,,stage05.1_best_known_attempt02,stage05.1-review-v2,current,compliant,,stage05.1_best_known_attempt01
stage05.1_best_known_attempt02,best_known,summary,all_92,n/a,attempt02,experiments/summaries/stage05.1_best_known_attempt02_bks_data.csv,complete,cac7e1dc0da5e203db0402e9b6152ef7219a3054ee863bd0925cf7bff3fd2d2c,stage04_adaptive_weights_attempt05,csv,current,compliant,,stage05.1_best_known_attempt01
stage05.1_best_known_attempt02,best_known,summary,all_92,n/a,attempt02,experiments/summaries/stage05.1_best_known_attempt02_compatibility_assessment.csv,complete,a7d2a5c81ba292abfa469fde0785ac221aee13ab563b309c506af92d47b7252b,stage04_adaptive_weights_attempt05,csv,current,compliant,,stage05.1_best_known_attempt01
stage05.1_best_known_attempt02,best_known,summary,all_92,n/a,attempt02,experiments/summaries/stage05.1_best_known_attempt02_summary_report.md,complete,ac1cdab09fb798b689103ee56c41362f91912fc72732ba92e68a8f05e21eeb28,stage04_adaptive_weights_attempt05,markdown,current,compliant,,stage05.1_best_known_attempt01
stage05.1_best_known_attempt02,best_known,review,all_92,n/a,attempt02,experiments/summaries/stage05.1_best_known_attempt02_review_report.md,complete,35707af25fe306b2a952db3ece5ec5aa13ff7c3a9c20f93fb6fed9dbc309cb06,stage05.1_best_known_attempt02,markdown,current,compliant,,stage05.1_best_known_attempt01
stage05.1_best_known_attempt02,best_known,review,all_92,n/a,attempt02,experiments/summaries/stage05.1_best_known_attempt02_review_findings.csv,complete,f9fc7abe2e2ab0023d1485724aec1781ec5bc9beec1a5b28397dc44507a2bfd4,stage05.1_best_known_attempt02,csv,current,compliant,,stage05.1_best_known_attempt01
stage05.1_best_known_attempt02,best_known,review,all_92,n/a,attempt02,experiments/summaries/stage05.1_best_known_attempt02_gate_evaluation.csv,complete,39247388a80acb064cd7841d57498120d700e0b3ed978a1a2803d9d33092b8f2,stage05.1_best_known_attempt02,csv,current,compliant,,stage05.1_best_known_attempt01
stage05.1_best_known_attempt02,best_known,review,all_92,n/a,attempt02,experiments/summaries/stage05.1_best_known_attempt02_review_manifest.json,complete,0870cd68f905ff2fb11a22312a76fb19cd4c8c1d039ed208e4e0d4a2fefdaed5,stage05.1_best_known_attempt02,json,current,compliant,,stage05.1_best_known_attempt01
